,supersub_activated_leg_yn,bet_type,in_play_yn,sim,total_stakes,total_payout
449,N,Single,N,45,13379.70590400,34127.403334
450,N,Single,Y,53,7079.40344000,40382.230662
451,N,Single,Y,197,7927.05940100,41378.669692
452,N,Multiple,N,180,6489.64963600,105336.477690
453,Y,Multiple,N,128,11805.46162800,138818.541846
454,Y,Multiple,N,108,15063.98293900,221468.201961
455,Y,Single,Y,167,2755.81708200,6885.036849
456,N,Single,Y,147,6314.57878100,38117.053918
457,N,Single,N,49,4562.62746200,10891.456041
458,Y,Single,N,65,7081.28629200,15222.329235
459,Y,Multiple,Y,149,1250.94723500,9789.506193
460,Y,Multiple,Y,129,4776.92649500,59432.099950
461,Y,Multiple,N,99,17838.93807500,145632.847023
462,Y,Single,N,186,1231.75640100,3242.331524
463,Y,Single,N,58,2365.77684800,7214.285148
464,N,Multiple,Y,111,777.36329000,9147.765267
465,Y,Single,N,115,1373.64461000,4841.333665
466,Y,Multiple,N,13,12688.72877700,157764.970671
467,Y,Multiple,N,43,2960.64866400,56957.870730
468,N,Multiple,Y,69,1381.37835800,24558.426099
469,N,Multiple,Y,113,2360.23952800,29877.987896
470,Y,Single,Y,198,1496.08905000,6115.211450
471,Y,Single,N,95,1194.81249600,2205.184599
472,N,Single,N,126,12500.44504400,34999.710472
473,N,Multiple,Y,131,3412.92384200,47875.874400
474,N,Single,N,154,2940.09459800,9474.510623
475,N,Multiple,Y,146,2696.79172200,33258.623976
476,N,Single,N,81,5308.44211400,20147.122032
477,N,Single,N,127,16730.11154500,59795.244240
478,Y,Single,N,75,1309.38240000,5068.789540
479,Y,Multiple,N,90,25686.32219300,331918.091816
480,N,Single,Y,157,9586.13512300,52055.092017
481,Y,Multiple,Y,171,1873.70285600,24642.417536
482,Y,Single,N,113,3576.85142500,7016.129907
483,Y,Single,N,69,4634.45865800,15030.129409
484,N,Single,N,182,14835.35679600,33949.487985
485,Y,Multiple,N,93,16629.40338300,185668.325092
486,N,Multiple,Y,155,1149.75226000,20926.472377
487,Y,Multiple,Y,31,1709.16500200,19281.277534
488,Y,Single,Y,173,1462.07375500,5463.615245
489,Y,Multiple,Y,60,208.91450000,1808.333075
490,N,Multiple,N,92,12074.46674300,183795.131876
491,Y,Multiple,N,138,53253.96587200,744669.115071
492,Y,Multiple,N,38,3953.57783200,65640.034016
493,N,Multiple,Y,73,4435.84026900,43239.630347
494,Y,Single,N,33,3006.92518900,8510.798501
495,N,Single,Y,44,3856.36750700,20290.692344
496,N,Single,Y,7,4171.25204900,17776.210115
497,Y,Single,Y,135,5024.35542100,13270.864985
498,Y,Single,N,181,7891.01882000,18406.109145
499,Y,Single,Y,171,1497.63930700,5161.726900
500,Y,Single,Y,143,875.06336800,3428.138029
501,Y,Multiple,N,0,26622.47703900,489197.480373
502,N,Multiple,Y,60,3309.94426200,45984.280703
503,N,Multiple,Y,31,1864.12667400,21292.311160
504,N,Multiple,N,93,6796.09642300,88050.493601
505,N,Multiple,N,11,17894.19841100,226578.202066
506,N,Multiple,N,162,8890.48931800,141657.867463
507,N,Single,N,51,5003.68848500,12019.755404
508,N,Single,Y,144,10443.62466000,55604.678869
509,N,Single,N,146,12351.17792400,33708.906717
510,N,Single,Y,110,4735.29960500,22109.624675
511,N,Single,Y,160,5504.21868000,24036.694854
512,N,Multiple,N,74,57244.49276400,541544.566319
513,Y,Multiple,N,30,6289.23340800,116298.904262
514,N,Single,Y,100,13036.62493500,62361.521084
515,Y,Multiple,N,42,70449.08616600,436689.758665
516,Y,Multiple,N,165,30969.36861200,352253.980049
517,N,Multiple,N,166,18145.75869500,237151.707596
518,Y,Multiple,N,121,2982.89186800,34602.851402
519,N,Single,N,194,3729.25926000,10009.499516
520,Y,Single,N,36,6244.57400500,21950.867121
521,N,Single,N,116,3678.88299900,10471.629195
522,Y,Single,Y,35,7061.56318800,19094.661095
523,Y,Single,Y,124,3740.50328100,9969.967119
524,N,Multiple,N,55,43441.83849200,339615.988827
525,N,Multiple,Y,121,2383.52574900,24719.720821
526,N,Multiple,N,4,11084.89186700,157600.203007
527,N,Single,Y,36,6194.45135500,39757.509862
528,Y,Multiple,Y,176,630.66836000,7251.601583
529,Y,Single,N,185,4270.44576000,18540.114145
530,Y,Single,Y,38,486.02187000,1916.676467
