,event_id,market_id,selection_id,home_team,away_team,selection_name,sot_level,actual_sot,total_bets_laid_on_next_sot_level,total_bets_laid,next_sot_level_laid,sample_weight
12795,13177422,473529428,2283484328,Chelsea,Bournemouth,Christopher Nkunku,1,0,96,33639955,1,2.85374935846377e-06
12796,12899910,462712418,2237828641,Man Utd,Leicester,Jamie Vardy,1,0,1,33639955,1,2.97265558173309e-08
12797,12767536,458823393,2221328951,Southampton,Leicester,Adam Armstrong,1,0,45,33639955,1,1.33769501177989e-06
12798,13534383,494914870,2369692590,Ipswich,Wolves,Jaden Philogene,1,0,22,33639955,1,6.5398422798128e-07
12799,13501232,493919373,2365760823,Wolves,West Ham,Ollie Scarles,1,0,7,33639955,1,2.08085890721316e-07
12800,13471046,487252873,2340689350,Leicester,Man Utd,Jamie Vardy,2,1,1101,33639955,2,3.27289379548813e-05
12801,13299424,479439039,2308940126,Fulham,Nottm Forest,Alex Iwobi,2,1,144,33639955,2,4.28062403769565e-06
12802,13736281,503070972,2404993685,Bournemouth,Aston Villa,Jacob Ramsey,1,0,1414,33639955,1,4.20333499257059e-05
12803,12569994,441613734,2147821384,Chelsea,Crystal Palace,Benoit Badiashile,1,0,1,33639955,1,2.97265558173309e-08
12804,12569993,441613609,2147817389,Ipswich,Fulham,Raul Jimenez,2,1,1,33639955,2,2.97265558173309e-08
12805,13266273,476741171,2297148730,Nottm Forest,Brighton,Murillo,1,0,95,33639955,1,2.82402280264644e-06
12806,13840360,506058555,2418086314,Ipswich,West Ham,Ollie Scarles,1,0,8,33639955,1,2.37812446538647e-07
12807,13398460,481660624,2318773160,Brighton,Bournemouth,Kaoru Mitoma,1,0,9396,33639955,1,0.000279310718459641
12808,12309965,439637613,1961627561,Man Utd,Fulham,Casemiro,1,0,1893,33639955,1,5.62723701622074e-05
12809,13076315,469083016,2264344320,Nottm Forest,Aston Villa,Ezri Konsa,1,0,29,33639955,1,8.62070118702596e-07
12810,13736294,503133850,2405243003,Southampton,Man City,Ross Stewart,1,0,1,33639955,1,2.97265558173309e-08
12811,13076327,469083795,2264351456,Liverpool,Fulham,Dominik Szoboszlai,1,0,2311,33639955,1,6.86980704938517e-05
12812,13076328,469083549,2264348779,Bournemouth,West Ham,David Brooks,1,0,87,33639955,1,2.58621035610779e-06
12813,13177396,473730008,2284284142,Man Utd,Southampton,Leny Yoro,1,0,150,33639955,1,4.45898337259964e-06
12814,13770845,504908429,2413247261,Brighton,Liverpool,Diogo Jota,1,0,148,33639955,1,4.39953026096497e-06
12815,12609321,443494617,2155946314,Brighton,Ipswich,Georginio Rutter,2,1,10,33639955,2,2.97265558173309e-07
12816,13635253,498776377,2385815724,Man Utd,Wolves,Jean-Ricner Bellegarde,1,0,4,33639955,1,1.18906223269324e-07
12817,13058802,467872016,2259273191,Leicester,Brighton,Conor Coady,1,0,11,33639955,1,3.2699211399064e-07
12818,13664462,500247660,2392433055,Brighton,West Ham,Eiran Cashin,1,0,3,33639955,1,8.91796674519927e-08
12819,13736276,503133814,2405242535,Ipswich,Brentford,Mathias Jensen,1,0,1,33639955,1,2.97265558173309e-08
12820,13254874,475548594,2292069831,Liverpool,Ipswich,Ben Johnson,1,0,1,33639955,1,2.97265558173309e-08
12821,13119695,470698879,2271565231,Liverpool,Leicester,Federico Chiesa,1,0,115,33639955,1,3.41855391899305e-06
12822,13119688,470672769,2271423261,Newcastle,Aston Villa,Lloyd Kelly,1,0,1,33639955,1,2.97265558173309e-08
12823,12697139,451268391,2188555290,Nottm Forest,Fulham,Chris Wood,1,0,6306,33639955,1,0.000187455660984089
12824,13635242,498776267,2385814455,West Ham,Southampton,Lucas Paqueta,1,0,621,33639955,1,1.84601911625625e-05
12825,13058799,467852683,2259184405,Man Utd,Nottm Forest,Morato,1,0,1,33639955,1,2.97265558173309e-08
12826,13149176,470834051,2272262733,Leicester,Man City,Ilkay Gundogan,1,0,15,33639955,1,4.45898337259964e-07
12827,13635249,498776223,2385814076,Everton,Man City,Josko Gvardiol,1,0,156,33639955,1,4.63734270750362e-06
12828,12804230,460113752,2226732690,Brighton,Wolves,Georginio Rutter,1,0,2409,33639955,1,7.16112729639502e-05
12829,12866493,461455188,2232397822,Man Utd,Chelsea,Enzo Fernandez,1,0,44,33639955,1,1.30796845596256e-06
12830,13331843,480783132,2314819012,Southampton,Brighton,Joe Aribo,1,0,14,33639955,1,4.16171781442633e-07
12831,13303993,479387135,2308675795,Brighton,Chelsea,Enzo Fernandez,1,0,1231,33639955,1,3.65933902111343e-05
12832,12731640,456008597,2208875018,West Ham,Ipswich,Dara O'Shea,1,0,9,33639955,1,2.67539002355978e-07
12833,13254876,475548704,2292073456,Brighton,Everton,Joao Pedro,2,1,1220,33639955,2,3.62663980971437e-05
12834,13089581,470037801,2268642799,Man Utd,Bournemouth,Kobbie Mainoo,1,0,1,33639955,1,2.97265558173309e-08
12835,13770878,505332545,2415006243,Man City,Bournemouth,Bernardo Silva,2,1,93,33639955,2,2.76456969101177e-06
12836,13076308,469074297,2264291005,Man City,Man Utd,Bruno Fernandes,2,1,12358,33639955,2,0.000367360776790575
12837,13076308,469074289,2264290537,Man City,Man Utd,Joshua Zirkzee,1,0,1,33639955,1,2.97265558173309e-08
12838,13840361,505865931,2417249814,Nottm Forest,Chelsea,Tosin Adarabioyo,1,0,25,33639955,1,7.43163895433273e-07
12839,12804236,460104605,2226691839,Leicester,Nottm Forest,Murillo,1,0,104,33639955,1,3.09156180500241e-06
12840,13299455,479444297,2308967265,Man City,Newcastle,Alexander Isak,1,0,28,33639955,1,8.32343562885265e-07
12841,13254844,475548746,2292075514,Wolves,Arsenal,Declan Rice,2,1,86,33639955,2,2.55648380029046e-06
12842,13089603,470035243,2268627765,Crystal Palace,Arsenal,Tyrick Mitchell,1,0,26,33639955,1,7.72890451250604e-07
12843,13177396,473730008,2284284129,Man Utd,Southampton,Marcus Rashford,1,0,59,33639955,1,1.75386679322252e-06
12844,12804236,460104605,2226691822,Leicester,Nottm Forest,James Ward-Prowse,1,0,29,33639955,1,8.62070118702596e-07
12845,12731620,455073329,2205043440,Aston Villa,Man Utd,Jacob Ramsey,1,0,45,33639955,1,1.33769501177989e-06
12846,13166255,471704477,2275964990,Brighton,Arsenal,Raheem Sterling,1,0,21,33639955,1,6.24257672163949e-07
12847,12963213,466493600,2253527463,Man Utd,Everton,Harry Maguire,1,0,15,33639955,1,4.45898337259964e-07
12848,13736285,503134701,2405252992,Tottenham,Crystal Palace,Archie Gray,1,0,11,33639955,1,3.2699211399064e-07
12849,12767539,458791692,2221202619,Bournemouth,Arsenal,Marcus Tavernier,2,1,62,33639955,2,1.84304646067452e-06
12850,12565918,440579450,1965827321,Wolves,Chelsea,Romeo Lavia,1,0,3,33639955,1,8.91796674519927e-08
12851,13177380,473724586,2284257725,Everton,Aston Villa,Dwight McNeil,1,0,30,33639955,1,8.91796674519927e-07
12852,13026617,467517035,2257675993,Newcastle,Liverpool,Curtis Jones,2,1,192,33639955,2,5.70749871692753e-06
12853,13026600,467517835,2257682220,Southampton,Chelsea,Cameron Archer,1,0,1060,33639955,1,3.15101491663708e-05
12854,13635253,498776377,2385815710,Man Utd,Wolves,Leny Yoro,1,0,6,33639955,1,1.78359334903985e-07
12855,13202013,474146482,2286055082,Everton,Tottenham,Son Heung-Min,2,1,6895,33639955,2,0.000204964602360497
12856,13089584,470037746,2268640992,Everton,Chelsea,Vitalii Mykolenko,1,0,3,33639955,1,8.91796674519927e-08
